filename,label,language
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0000.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0001.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0002.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0003.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0004.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0005.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0006.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0008.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0009.wav,0,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0010.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0011.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0012.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0013.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0014.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0015.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0017.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0021.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0022.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0023.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0024.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0026.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0027.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0028.wav,0,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0029.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0030.wav,0,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0031.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0033.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0034.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0036.wav,0,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0037.wav,0,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0038.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0039.wav,0,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0042.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0046.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0048.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0049.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0050.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0053.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0054.wav,0,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0055.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0056.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0057.wav,0,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0058.wav,0,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0059.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0062.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0063.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0064.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0065.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0066.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0069.wav,0,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0070.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0075.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0079.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0080.wav,0,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0081.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0084.wav,0,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0085.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0086.wav,0,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0087.wav,0,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0088.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0093.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0095.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0096.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0097.wav,0,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0098.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0099.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0101.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0102.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0103.wav,0,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0104.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0105.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0107.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0110.wav,0,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0111.wav,1,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0112.wav,0,assamese
/content/drive/MyDrive/miniprojectfinal/data/preprocessed/Aamis (2019) Dual Au_seg0113.wav,1,assamese
